p_noise	bell_state	optimization_level	routing_method	noise_adaptive	fidelity	success_rate	depth	gate_count	cx_count	sx_count	x_count	rz_count	initial_layout	adaptive_path	blind_layout
0.03	psi_minus	3	sabre	FALSE	0.769322861	0.861450195	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.03	psi_minus	3	lookahead	TRUE	0.918435399	0.978393555	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.03	psi_minus	3	lookahead	FALSE	0.769322861	0.861450195	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	1	sabre	TRUE	0.912979964	0.953857422	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	1	sabre	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	1	lookahead	TRUE	0.913253006	0.986572266	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	1	lookahead	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	2	sabre	TRUE	0.912979964	0.953857422	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	2	sabre	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	2	lookahead	TRUE	0.913253006	0.986572266	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	2	lookahead	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	3	sabre	TRUE	0.912979964	0.953857422	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	3	sabre	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_plus	3	lookahead	TRUE	0.913253006	0.986572266	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_plus	3	lookahead	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	1	sabre	TRUE	0.912979963	0.953857422	5	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	1	sabre	FALSE	0.722308812	0.820678711	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	1	lookahead	TRUE	0.913253005	0.986572266	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	1	lookahead	FALSE	0.722308812	0.820678711	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	2	sabre	TRUE	0.912979964	0.953857422	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	2	sabre	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	2	lookahead	TRUE	0.913253005	0.986572266	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	2	lookahead	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	3	sabre	TRUE	0.912979964	0.953857422	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	3	sabre	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	phi_minus	3	lookahead	TRUE	0.913253005	0.986572266	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	phi_minus	3	lookahead	FALSE	0.722308812	0.820678711	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	1	sabre	TRUE	0.892545273	0.941162109	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
